city,country,pollution
Baie-Mahault,France,4
Curacao,Curacao,29
Kabul,Afghanistan,57
Tirana,Albania,14
Cruz Bay,U.S. Virgin Islands,46
Escaldes-Engordany,Andorra,17
Luanda,Angola,59
Lanus Este,Argentina,45
Curacao,Curacao,29
Mount Isa,Australia,14
Ardabil,Iran,50
Liezen,Austria,29
Musalerr,Armenia,55
Madinat Zayed,United Arab Emirates,139
Zenica,Bosnia Herzegovina,48
Azimpur,Bangladesh,59
Chatelet,Belgium,21
Trois-Rivieres,France,51
Bamako,Mali,84
Stara Zagora,Bulgaria,41
Accra,Ghana,70
Manama,Bahrain,82
Kampala,Uganda,119
Tutong,Brunei,10
Cochabamba,Bolivia,80
Miami,USA,22
Sao Jose do Rio Preto,Brazil,107
Guwahati,India,86
Lephalale,South Africa,37
Nowa Swidzialowka,Poland,41
Pinehouse,Canada,8
Kinshasa,Democratic Republic of the Congo,158
Flores,Guatemala,19
Kinshasa,Democratic Republic of the Congo,158
Lucerne,Switzerland,28
Bogota,Colombia,74
Homestead,USA,7
San Pedro,Costa Rica,20
Dakar,Senegal,54
Bandung,Indonesia,135
Lanzhou,China,84
Nicosia,Cyprus,33
Kutna Hora,Czech Republic,41
Witzenhausen,Germany,1
Addis Ababa,Ethiopia,70
Flensburg,Germany,50
Trois-Rivieres,France,51
Mayagueez,Puerto Rico,10
Algiers,Algeria,78
Sangolqui,Ecuador,38
Linares,Chile,149
Parnu Jogi,Estonia,0
Majadahonda,Spain,29
Addis Ababa,Ethiopia,70
Addis Ababa,Ethiopia,70
Jyvaskyla,Finland,42
Punta Arenas,Chile,12
Tamuning,USA,1
Highland,United Kingdom,43
Kinshasa,Democratic Republic of the Congo,158
Gueret,France,1
Trois-Rivieres,France,51
New Cairo,Egypt,25
Abidjan,Ivory Coast,61
Accra,Ghana,70
Vecindario,Spain,9
Ziguinchor,Senegal,26
Bamako,Mali,84
Baie-Mahault,France,4
La Línea de la Concepción,Spain,31
Kinshasa,Democratic Republic of the Congo,158
Nafpaktos,Greece,25
El Chol,Guatemala,37
Tamuning,USA,1
Ziguinchor,Senegal,26
Kutaisi,Georgia,67
Manche,France,33
Hong Kong,Hong Kong SAR,33
Sderot,Israel,31
Tegucigalpa,Honduras,52
Mayagueez,Puerto Rico,10
Plitvicka Jezera,Croatia,10
K-Puszta,Hungary,34
Kapit,Malaysia,26
Roscommon,Ireland,27
Bangor,United Kingdom,37
Ardakan,Iran,68
Akureyri,Iceland,4
Baghdad,Iraq,55
Homestead,USA,7
Ein Tamar,Israel,56
Marino,Italy,20
Saku,Japan,33
Nairobi,Kenya,38
Bishkek,Kyrgyzstan,15
Manche,France,33
Phnom Penh,Cambodia,62
Nagpur,India,73
Kuwait City,Kuwait,89
Peebles,United Kingdom,0
Antananarivo,Madagascar,54
Nur-Sultan,Kazakhstan,62
Nan,Thailand,45
Qiryat Shemona,Israel,29
Be'er Sheva,Israel,49
Trois-Rivieres,France,51
Teufen,Switzerland,35
Baishan,China,92
Baie-Mahault,France,4
Kinzan,South Korea,37
Homestead,USA,7
Dambulla,Sri Lanka,29
Conakry,Guinea,21
Bloemfontein,South Africa,88
Peillon,France,25
Antananarivo,Madagascar,90
Podgorica,Montenegro,0
Veles,North Macedonia,76
Bamako,Mali,84
Mae Hong Son,Thailand,25
Tsetserleg,Mongolia,5
Macao,Macao SAR,52
Suwalki,Poland,45
Riga,Latvia,47
Diekirch,Luxembourg,11
Tamuning,USA,2
Trois-Rivieres,France,52
Vecindario,Spain,9
Baie-Mahault,France,4
H'Attard,Malta,41
Thiruvananthapuram,India,84
Zacatecas,Mexico,10
Phalaborwa,South Africa,55
Jerantut,Malaysia,36
Saint-Joseph,France,13
Mahikeng,South Africa,17
Noumea,New Caledonia,20
Paraparaumu,New Zealand,8
Al Quo'a,United Arab Emirates,114
Pokhara,Nepal,57
Tegucigalpa,Honduras,41
Cruzeiro do Sul,Brazil,77
Santa Rosa,Philippines,9
Bahawalpur,Pakistan,180
Zgierz,Poland,68
Marystown,Canada,7
San Pedro,Costa Rica,42
Jerusalem,Israel,18
Vila Franca de Xira,Portugal,2
Tagum City,Philippines,15
Presidente Prudente,Brazil,24
Le Tampon,France,33
Medias,Romania,29
Kragujevac,Serbia,12
Krasnoyarsk,Russia,47
Maarn,Netherlands,48
Doha,Qatar,92
Noumea,New Caledonia,20
Kampala,Uganda,139
Riyadh,Saudi Arabia,86
Drammen,Norway,21
Camuy,Puerto Rico,23
Port Glaud,Seychelles,10
Singapore,Singapore,41
Norr Malma,Sweden,15
Alta,Norway,12
Conakry,Guinea,21
Addis Ababa,Ethiopia,70
Ziguinchor,Senegal,18
Accra,Ghana,86
Tegucigalpa,Honduras,41
Sanliurfa,Turkey,29
Ermelo,South Africa,29
Mayagueez,Puerto Rico,19
Trbovlje,Slovenia,40
Hnusta,Slovakia,10
Pesaro,Italy,17
Accra,Ghana,86
Nakhon Sawan,Thailand,45
Dushanbe,Tajikistan,72
Ludmilla,Australia,89
Kayseri,Turkey,28
Trois-Rivieres,France,52
Nantou,Taiwan,57
Mombasa,Kenya,25
Gharb,Malta,37
Borova,Ukraine,57
Oakville,Canada,26
Kampala,Uganda,139
Copan,USA,26
Buenos Aires,Argentina,41
Tashkent,Uzbekistan,72
Rome,Italy,37
Trois-Rivieres,France,52
Curacao,Curacao,21
Ashgabat,Turkmenistan,37
Cruz Bay,U.S. Virgin Islands,39
Pleiku,Vietnam,51
Noumea,New Caledonia,20
Charlotte Amalie,U.S. Virgin Islands,40
Glogovac,Kosovo,4
Al Mafud,Yemen,29
Antananarivo,Madagascar,90
Bloemfontein,South Africa,88
Lephalale,South Africa,37
